sr_no,state,work_raw,work_id_raw,ida_raw,mp_name_raw,constituency,expenditure_date_raw,vendor_raw,payment_status,fund_disbursed_amount,house,state_key,work_id,work_key,district_name,ida_key,mp_name_clean,mp_key,elected_nominated,expenditure_date,vendor_clean,vendor_id
290,Bihar,Construction of common work sheds/ common covered sitting area,WS/MP18042/2026-2027/274820,DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA),SHAMBHAVI,SAMASTIPUR(SC),18-Aug-2026,ASSISTANT ENGINEER KUSHESHWAR ASTHAN,Payment In-Progress,394259.0,LS,Bihar,WS/MP18042/2026-2027/274820,LS|WS/MP18042/2026-2027/274820,Darbhanga,DARBHANGA,SHAMBHAVI,LS_SHAMBHAVI,,2026-08-18,ASSISTANT ENGINEER KUSHESHWAR ASTHAN,v_a65789d368c1
291,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP360/2025-2026/195102,UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA),Shri Anil Firojiya,UJJAIN(SC),02-Sep-2026,Gram Panchyat Rupeta,Payment In-Progress,400000.0,LS,Madhya Pradesh,WS/MP360/2025-2026/195102,LS|WS/MP360/2025-2026/195102,Ujjain,UJJAIN,ANIL FIROJIYA,LS_ANIL FIROJIYA,,2026-09-02,GRAM PANCHYAT RUPETA,v_a5330ec39cee
292,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/186923,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992.0,LS,Uttar Pradesh,WS/MP18222/2025-2026/186923,LS|WS/MP18222/2025-2026/186923,Jaunpur,JAUNPUR,BABU SINGH KUSHWAHA,LS_BABU SINGH KUSHWAHA,,2026-07-22,AJAY KUMAR SINGH,v_54479d34a2d8
293,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184339,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992.0,LS,Uttar Pradesh,WS/MP18222/2025-2026/184339,LS|WS/MP18222/2025-2026/184339,Jaunpur,JAUNPUR,BABU SINGH KUSHWAHA,LS_BABU SINGH KUSHWAHA,,2026-07-22,AJAY KUMAR SINGH,v_54479d34a2d8
294,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184342,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,22-Jul-2026,Ajay Kumar Singh,Payment In-Progress,19992.0,LS,Uttar Pradesh,WS/MP18222/2025-2026/184342,LS|WS/MP18222/2025-2026/184342,Jaunpur,JAUNPUR,BABU SINGH KUSHWAHA,LS_BABU SINGH KUSHWAHA,,2026-07-22,AJAY KUMAR SINGH,v_54479d34a2d8
295,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP568/2026-2027/288938,DURG(DISTRICT COLLECTOR DURG_IDA),Vijay Baghel,DURG,03-Sep-2026,SARPANCH SACHIV GRAM PANCHAYAT ANJORA DH,Payment In-Progress,250000.0,LS,Chhattisgarh,WS/MP568/2026-2027/288938,LS|WS/MP568/2026-2027/288938,Durg,DURG,VIJAY BAGHEL,LS_VIJAY BAGHEL,,2026-09-03,SARPANCH SACHIV GRAM PANCHAYAT ANJORA DH,v_9d96976bee6c
296,Kerala,Purchase of vans and buses for educational institutions,WS/MP343/2025-2026/244496,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),Dr Shashi Tharoor,THIRUVANANTHAPURAM,07-Sep-2026,VE Commercial Vehicles Ltd,Payment In-Progress,2350000.0,LS,Kerala,WS/MP343/2025-2026/244496,LS|WS/MP343/2025-2026/244496,Thiruvananthapuram,THIRUVANANTHAPURAM,SHASHI THAROOR,LS_SHASHI THAROOR,,2026-09-07,VE COMMERCIAL VEHICLES,v_b0efcb9f40b2
297,Telangana,Construction of community centers and community halls,WS/MP765/2025-2026/232919,HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA),Kishan Reddy Gangapuram,SECUNDERABAD,05-Sep-2026,K Ravinder Civil Contractor,Payment In-Progress,1358865.0,LS,Telangana,WS/MP765/2025-2026/232919,LS|WS/MP765/2025-2026/232919,Hyderabad,HYDERABAD,KISHAN REDDY GANGAPURAM,LS_KISHAN REDDY GANGAPURAM,,2026-09-05,K RAVINDER CIVIL CONTRACTOR,v_9c8268619112
298,Gujarat,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/ MP005/2026-2027/264013,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,01-Sep-2026,DEGAM GRAM PANCHAYAT,Payment In-Progress,100000.0,LS,Gujarat,WS/MP005/2026-2027/264013,LS|WS/MP005/2026-2027/264013,Kheda,KHEDA,DEVUSINH JESINGBHAI CHAUHAN,LS_DEVUSINH JESINGBHAI CHAUHAN,,2026-09-01,DEGAM GRAM PANCHAYAT,v_b25210784621
299,Jammu And Kashmir,Construction of public irrigation facilities,WS/MP18260/2025-2026/190483,PULWAMA(Deputy Commissioner Pulwama_IDA),AGA SYED RUHULLAH MEHDI,SRINAGAR,11-Aug-2026,Attar Brothers,Payment In-Progress,340600.0,LS,Jammu And Kashmir,WS/MP18260/2025-2026/190483,LS|WS/MP18260/2025-2026/190483,Pulwama,PULWAMA,AGA SYED RUHULLAH MEHDI,LS_AGA SYED RUHULLAH MEHDI,,2026-08-11,ATTAR BROTHERS,v_27eaaf394114
