sr_no,state,mp_name_raw,constituency,allocated_amount,house,state_key,elected_nominated,mp_name_clean,mp_key
403,Odisha,SAMBIT PATRA,PURI,147000000.0,LS,Odisha,,SAMBIT PATRA,LS_SAMBIT PATRA
404,Uttar Pradesh,SANATAN PANDEY,BALLIA,180420041.4,LS,Uttar Pradesh,,SANATAN PANDEY,LS_SANATAN PANDEY
405,Maharashtra,SANJAY DINA PATIL,MUMBAI NORTH EAST,147000000.0,LS,Maharashtra,,SANJAY DINA PATIL,LS_SANJAY DINA PATIL
406,Maharashtra,Sanjay Haribhau Jadhav,PARBHANI,147000000.0,LS,Maharashtra,,SANJAY HARIBHAU JADHAV,LS_SANJAY HARIBHAU JADHAV
407,Bihar,Sanjay Jaiswal,PASCHIM CHAMPARAN,147000000.0,LS,Bihar,,SANJAY JAISWAL,LS_SANJAY JAISWAL
408,Telangana,Sanjay Kumar Bandi,KARIMNAGAR,172775317.11,LS,Telangana,,SANJAY KUMAR BANDI,LS_SANJAY KUMAR BANDI
409,Jharkhand,Sanjay Seth,RANCHI,147064357.11,LS,Jharkhand,,SANJAY SETH,LS_SANJAY SETH
410,Maharashtra,Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,185640423.0,LS,Maharashtra,,SANJAY UTTAMRAO DESHMUKH,LS_SANJAY UTTAMRAO DESHMUKH
411,Rajasthan,SANJNA JATAV,BHARATPUR(SC),147000000.0,LS,Rajasthan,,SANJNA JATAV,LS_SANJNA JATAV
412,Chhattisgarh,Santosh Pandey,RAJNANDGAON,147000000.0,LS,Chhattisgarh,,SANTOSH PANDEY,LS_SANTOSH PANDEY
413,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000.0,LS,Odisha,,SAPTAGIRI SANKAR ULAKA,LS_SAPTAGIRI SANKAR ULAKA
414,Punjab,SARABJEET SINGH KHALSA,FARIDKOT(SC),150850348.15,LS,Punjab,,SARABJEET SINGH KHALSA,LS_SARABJEET SINGH KHALSA
415,Tamil Nadu,Sasikanth Senthil,TIRUVALLUR(SC),171500000.0,LS,Tamil Nadu,,SASIKANTH SENTHIL,LS_SASIKANTH SENTHIL
416,Haryana,SATPAL BRAHAMCHARI,SONEPAT,147000000.0,LS,Haryana,,SATPAL BRAHAMCHARI,LS_SATPAL BRAHAMCHARI
417,West Bengal,Saumitra khan,BISHNUPUR(SC),147000000.0,LS,West Bengal,,SAUMITRA KHAN,LS_SAUMITRA KHAN
418,Madhya Pradesh,SAVITRI THAKUR,DHAR(ST),147000000.0,LS,Madhya Pradesh,,SAVITRI THAKUR,LS_SAVITRI THAKUR
419,West Bengal,SAYANI GHOSH,JADAVPUR,147000000.0,LS,West Bengal,,SAYANI GHOSH,LS_SAYANI GHOSH
420,Haryana,SELJA,SIRSA(SC),147000000.0,LS,Haryana,,SELJA,LS_SELJA
421,Tamil Nadu,SELVAGANAPATHI T M,SALEM,147000000.0,LS,Tamil Nadu,,SELVAGANAPATHI T M,LS_SELVAGANAPATHI T M
422,Tamil Nadu,SELVARAJ V,NAGAPATTINAM(SC),147000000.0,LS,Tamil Nadu,,SELVARAJ V,LS_SELVARAJ V
423,Kerala,SHAFI PARAMBIL,VADAKARA,147000000.0,LS,Kerala,,SHAFI PARAMBIL,LS_SHAFI PARAMBIL
424,Bihar,SHAMBHAVI,SAMASTIPUR(SC),147000000.0,LS,Bihar,,SHAMBHAVI,LS_SHAMBHAVI
425,Madhya Pradesh,Shankar Lalwani,INDORE,147000000.0,LS,Madhya Pradesh,,SHANKAR LALWANI,LS_SHANKAR LALWANI
426,Uttar Pradesh,SHASHANK MANI,DEORIA,147000000.0,LS,Uttar Pradesh,,SHASHANK MANI,LS_SHASHANK MANI
427,West Bengal,Shatrughan Sinha,ASANSOL,147000000.0,LS,West Bengal,,SHATRUGHAN SINHA,LS_SHATRUGHAN SINHA
428,Punjab,SHER SINGH GHUBAYA,FIROZPUR,147000000.0,LS,Punjab,,SHER SINGH GHUBAYA,LS_SHER SINGH GHUBAYA
429,Madhya Pradesh,SHIVMANGAL SINGH TOMAR,MORENA,147000000.0,LS,Madhya Pradesh,,SHIVMANGAL SINGH TOMAR,LS_SHIVMANGAL SINGH TOMAR
430,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,VIDISHA,147000000.0,LS,Madhya Pradesh,,SHIVRAJ SINGH CHOUHAN,LS_SHIVRAJ SINGH CHOUHAN
431,Karnataka,SHOBHA KARANDLAJE,BANGALORE NORTH,147000000.0,LS,Karnataka,,SHOBHA KARANDLAJE,LS_SHOBHA KARANDLAJE
432,Gujarat,SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,147000000.0,LS,Gujarat,,SHOBHANABEN MAHENDRASINH BARAIYA,LS_SHOBHANABEN MAHENDRASINH BARAIYA
433,Karnataka,SHREYAS. M. PATEL,HASSAN,147000000.0,LS,Karnataka,,SHREYAS M PATEL,LS_SHREYAS M PATEL
434,Haryana,Shri Dharambir Singh,BHIWANI MAHENDRAGARH,147000000.0,LS,Haryana,,DHARAMBIR SINGH,LS_DHARAMBIR SINGH
435,West Bengal,Shri Abhishek Banerjee,DIAMOND HARBOUR,147000000.0,LS,West Bengal,,ABHISHEK BANERJEE,LS_ABHISHEK BANERJEE
436,Punjab,Shri Amar Singh,FATEHGARH SAHIB(SC),147000000.0,LS,Punjab,,AMAR SINGH,LS_AMAR SINGH
437,Gujarat,Shri Amit Shah,GANDHINAGAR,147000000.0,LS,Gujarat,,AMIT SHAH,LS_AMIT SHAH
438,Madhya Pradesh,Shri Anil Firojiya,UJJAIN(SC),147000000.0,LS,Madhya Pradesh,,ANIL FIROJIYA,LS_ANIL FIROJIYA
